country_name,year,population
India,2020,"1,380,004,385"
Spain,2020,"46,754,778"
China,2020,"1,439,323,776"
Argentina,2020,"45,195,774"
Sudan,2020,"43,849,260"
Colombia,2020,"50,882,891"
Algeria,2020,"43,851,044"
South Korea,2020,"51,269,185"
Uganda,2020,"45,741,007"
South Africa,2020,"59,308,690"
United Kingdom,2020,"67,886,011"
Tanzania,2020,"59,734,218"
France,2020,"65,273,511"
Kenya,2020,"53,771,296"
Myanmar,2020,"54,409,800"
Holy See,2020,801
Italy,2020,"60,461,826"
Montserrat,2020,"4,992"
Tokelau,2020,"1,357"
Falkland Islands,2020,"3,480"
Niue,2020,"1,626"
Saint Pierre & Miquelon,2020,"5,794"
Saint Barthelemy,2020,"9,877"
Nauru,2020,"10,824"
Saint Helena,2020,"6,077"
Anguilla,2020,"15,003"
Cook Islands,2020,"17,564"
Wallis & Futuna,2020,"11,239"
Palau,2020,"18,094"
Tuvalu,2020,"11,792"
Gibraltar,2020,"33,691"
Caribbean Netherlands,2020,"26,223"
British Virgin Islands,2020,"30,231"
Saint Martin,2020,"38,666"
Liechtenstein,2020,"38,128"
Turks and Caicos,2020,"38,717"
Sint Maarten,2020,"42,876"
San Marino,2020,"33,931"
Monaco,2020,"39,242"
Saint Kitts & Nevis,2020,"53,199"
Greenland,2020,"56,770"
Faeroe Islands,2020,"48,863"
American Samoa,2020,"55,191"
Northern Mariana Islands,2020,"57,559"
Marshall Islands,2020,"59,190"
Bermuda,2020,"62,278"
Cayman Islands,2020,"65,722"
Andorra,2020,"77,265"
Dominica,2020,"71,986"
Isle of Man,2020,"85,033"
Antigua and Barbuda,2020,"97,929"
Tonga,2020,"105,695"
Seychelles,2020,"98,347"
Aruba,2020,"106,766"
Grenada,2020,"112,523"
St. Vincent & Grenadines,2020,"110,940"
U.S. Virgin Islands,2020,"104,425"
Curaçao,2020,"164,093"
Guam,2020,"168,775"
Saint Lucia,2020,"183,627"
Kiribati,2020,"119,449"
Channel Islands,2020,"173,863"
Sao Tome & Principe,2020,"219,159"
Mayotte,2020,"272,815"
Samoa,2020,"198,414"
French Polynesia,2020,"280,908"
New Caledonia,2020,"285,498"
Vanuatu,2020,"307,145"
Iceland,2020,"341,243"
Martinique,2020,"375,265"
Barbados,2020,"287,375"
French Guiana,2020,"298,682"
Belize,2020,"397,628"
Guadeloupe,2020,"400,124"
Bahamas,2020,"393,244"
Maldives,2020,"540,544"
Brunei ,2020,"437,479"
Micronesia,2020,"548,914"
Malta,2020,"441,543"
Suriname,2020,"586,632"
Western Sahara,2020,"597,339"
Cabo Verde,2020,"555,987"
Luxembourg,2020,"625,978"
Montenegro,2020,"628,066"
Solomon Islands,2020,"686,884"
Bhutan,2020,"771,608"
Guyana,2020,"786,552"
Réunion,2020,"895,312"
Fiji,2020,"896,445"
Comoros,2020,"869,601"
Macao,2020,"649,335"
Djibouti,2020,"988,000"
Cyprus,2020,"1,207,359"
Eswatini,2020,"1,160,164"
Mauritius,2020,"1,271,768"
Estonia,2020,"1,326,535"
Equatorial Guinea,2020,"1,402,985"
Timor-Leste,2020,"1,318,445"
Bahrain,2020,"1,701,575"
Trinidad and Tobago,2020,"1,399,488"
Latvia,2020,"1,886,198"
Slovenia,2020,"2,078,938"
Lesotho,2020,"2,142,249"
Guinea-Bissau,2020,"1,968,001"
Gabon,2020,"2,225,734"
North Macedonia,2020,"2,083,374"
Botswana,2020,"2,351,627"
Gambia,2020,"2,416,668"
Namibia,2020,"2,540,905"
Lithuania,2020,"2,722,289"
Albania,2020,"2,877,797"
Qatar,2020,"2,881,053"
Jamaica,2020,"2,961,167"
Puerto Rico,2020,"2,860,853"
Mongolia,2020,"3,278,290"
Bosnia and Herzegovina,2020,"3,280,819"
Uruguay,2020,"3,473,730"
Armenia,2020,"2,963,243"
Eritrea,2020,"3,546,421"
Georgia,2020,"3,989,167"
Croatia,2020,"4,105,267"
Panama,2020,"4,314,767"
Moldova,2020,"4,033,963"
New Zealand,2020,"4,822,233"
Central African Republic,2020,"4,829,767"
Kuwait,2020,"4,270,571"
Oman,2020,"5,106,626"
Liberia,2020,"5,057,681"
Norway,2020,"5,421,241"
Slovakia,2020,"5,459,642"
Congo,2020,"5,518,087"
Finland,2020,"5,540,720"
Denmark,2020,"5,792,202"
Singapore,2020,"5,850,342"
Turkmenistan,2020,"6,031,200"
El Salvador,2020,"6,486,205"
Kyrgyzstan,2020,"6,524,195"
Nicaragua,2020,"6,624,554"
Mauritania,2020,"4,649,658"
Ireland,2020,"4,937,786"
Libya,2020,"6,871,292"
Bulgaria,2020,"6,948,445"
State of Palestine,2020,"5,101,414"
